,VTI,VEA,VWO,BND,EMB
1/15/16,-0.02102352,-0.03474235,-0.04197203,0.001722857,-0.009866834
1/19/16,-0.001047543,0.008698287,0.01390819,-0.001228482,0.003676444
1/20/16,-0.009857408,-0.02289624,-0.02091909,0.001106966,-0.006072848
1/21/16,0.003918691,0.007608034,0.001751354,-0.000614364,0.004558251
1/22/16,0.02131023,0.02899423,0.03391606,-0.000368807,0.009364754
1/25/16,-0.01642389,-0.01438209,-0.01657084,0,-0.004591137
1/26/16,0.01522786,0.01816548,0.01444292,0.001475867,0.00317096
1/27/16,-0.0113789,-0.006434554,-0.006440696,0,0.004789272
1/28/16,0.003976115,0.003826825,0.01603553,0.000736799,0.005243045
1/29/16,0.02480464,0.01730206,0.03525854,0.002945214,0.003508798
2/1/16,0.000203363,-0.002017864,-0.01005512,-0.002025559,-0.004923289
2/2/16,-0.01931878,-0.02253029,-0.02981651,0.003440211,-0.002192942
2/3/16,0.006013498,0.008865226,0.02668014,0.000734727,0.004395596
2/4/16,0.002370436,0.002050372,0.006907927,0.000734095,0.001236773
2/5/16,-0.02056344,-0.01490787,-0.01045409,-0.000978137,-0.001045236
2/8/16,-0.01553646,-0.01810091,-0.01386596,0.004283423,-0.004470595
2/9/16,-0.001279538,-0.01087944,-0.01262139,-0.000121795,-0.003248652
2/10/16,0.000640589,-0.002138701,0.002949849,0.002071885,0.000958574
2/11/16,-0.01237733,-0.01316596,-0.01453686,0.000608069,-0.001149158
2/12/16,0.01944688,0.01582383,0.01646654,-0.003281836,0.00393093
2/16/16,0.01822808,0.01924243,0.02362473,-0.001463448,0.003247101
2/17/16,0.01654867,0.01798029,0.02077148,-0.000244219,0.007044244
2/18/16,-0.003993032,-0.004710034,-0.004844949,0.003420459,0.003024858
2/19/16,0.000205636,-0.001774663,-0.004219382,-0.001339184,-0.000848214
2/22/16,0.01459402,0.01214814,0.02477184,0.000243865,0.004904775
2/23/16,-0.01205432,-0.01668617,-0.02162851,0.000609329,-0.000187763
2/24/16,0.005126628,-0.002977031,0,0.000730879,0.000187798
2/25/16,0.01183315,0.01194379,0.001625463,0.001460505,0.0034729
2/26/16,-0.000806551,-0.003540836,-0.008763341,-0.000972312,0.001683591
2/29/16,-0.007970951,-0.004441857,0.006221304,0.00060831,0.001494105
3/1/16,0.02379988,0.02587754,0.0364465,-0.003338024,0.01164766
3/2/16,0.005563258,0.006958476,0.01538461,-0.000611116,-0.00240602
3/3/16,0.004939735,0.01065358,0.01086894,0.000489248,0.001205911
3/4/16,0.003440803,0.007692321,0.02197813,-0.000489009,0.002408989
3/7/16,0.002057403,-0.000848142,-0.002095172,-0.000244671,0.001941021
3/8/16,-0.01241686,-0.01103564,-0.01739657,0.003303209,-0.003966792
3/9/16,0.004850984,0.00429178,0.006410345,-0.001707101,0.002408096
3/10/16,-0.000295555,-0.000854666,-0.002426504,-0.000488591,-0.000554423
3/11/16,0.01695083,0.0259481,0.02189119,-0.001344258,0.006193937
3/14/16,-0.00116293,-0.002223402,-0.005653152,0.002202647,-0.002205052
3/15/16,-0.003395768,-0.01011143,-0.01684617,-0.000976823,-0.005616948
3/16/16,0.006259775,0.01045786,0.02103666,0.003911021,0.009908322
3/17/16,0.007678858,0.00923082,0.02030446,0.002191384,0.007793931
3/18/16,0.004437148,-0.001663009,0.006731149,0.000850337,0.000818819
3/21/16,0.000960397,-0.001943356,0.00406975,-0.001820628,0.003727306
3/22/16,-0.000287887,-0.001112682,-0.004342835,-0.00024315,-0.001902062
3/23/16,-0.008157375,-0.01086047,-0.01541142,0.002189252,-0.006261296
3/24/16,-0.000290264,-0.006475212,-0.001476646,-0.001213574,-0.002374232
3/28/16,0.000677504,0.006233987,0.002661939,0.000485945,0.001922188
3/29/16,0.01112295,0.01182771,0.009734455,0.004129269,0.005207379
3/30/16,0.003826301,0.007514624,0.0113935,-0.00036283,0.000999733
3/31/16,-0.001143537,-0.00883977,-0.001155318,0.001875363,0.001906656
4/1/16,0.006296543,-0.01114831,0.002891801,0.001181898,0.002615737
4/4/16,-0.00417143,-0.002254735,-0.01355251,0,-0.000272197
4/5/16,-0.009710627,-0.01864406,-0.01870796,0.001813053,-0.002632065
4/6/16,0.0109595,0.01611968,0.01280907,-0.000482637,0.002366022
4/7/16,-0.01198176,-0.01416431,-0.02088233,0.003259347,-0.00408538
4/8/16,0.002887348,0.01896551,0.01742259,-0.000842254,0.003190575
4/11/16,-0.002783045,0.000846097,0.01328612,-0.00012045,0.004452502
4/12/16,0.009719897,0.01521547,0.01544285,-0.001565666,0.001356989
4/13/16,0.01172325,0.01582014,0.01865141,0.000603081,0.004155742
4/14/16,-0.000376834,0.001092921,-0.005070431,-0.000843878,0.001259554
4/15/16,-0.000471238,-0.002729216,-0.005945614,0.002292501,0.00053911
4/18/16,0.006694315,0.009031144,0.003417799,-0.000361127,0.000538888
4/19/16,0.002809807,0.01735827,0.01532787,0.000602064,0.003859552
4/20/16,0.001027371,0.000266653,-0.006429956,-0.002768032,0.000804757
4/21/16,-0.004944941,-0.005863572,-0.01097353,-0.001206837,-0.003573676
4/22/16,0.001406484,-0.000804257,-0.003698465,-0.000362479,-0.001524237
4/25/16,-0.002434477,-0.004292993,-0.007995396,-0.001208825,-0.004040921
4/26/16,0.002721991,0.003772551,0.01180195,-0.001452198,0.000901618
4/27/16,0.002433722,0.001610775,0.005974369,0.003029936,0.004504099
4/28/16,-0.008964414,-0.01286517,-0.01018101,0.001812488,0.002062557
4/29/16,-0.005841846,-0.003258288,-0.001999991,0.000723647,-0.000984434
5/2/16,0.007771772,0.008444604,-0.002576586,-0.001758425,-0.000178772
5/3/16,-0.01006301,-0.01674767,-0.0278416,0.002782431,-0.002248202
5/4/16,-0.005890203,-0.01208798,-0.01417182,0.000361911,-0.002343348
5/5/16,-0.000382272,-0.000834226,0,0.001808991,0.002303706
5/6/16,0.003632934,0.002226496,0.002395982,-0.000481533,0.001306924
5/9/16,0.001047752,-0.003332378,-0.01523759,0.000722601,-0.002520468
5/10/16,0.01189457,0.01476731,0.02002427,0,0.004422033
5/11/16,-0.009121625,-0.007138889,-0.002974375,0.000240754,0.002335979
5/12/16,-0.000379623,-0.000829612,-0.001790017,0.000120348,0.001972044
5/13/16,-0.008639549,-0.01107117,-0.01793181,0.001082728,0.000626227
5/16/16,0.009959787,0.01231454,0.01156424,-0.002163205,0.000536479
5/17/16,-0.009008126,-0.005805891,-0.004211889,-0.000722601,-0.000714877
5/18/16,-9.57E-05,-0.000834226,-0.007854935,-0.004700487,-0.009657532
5/19/16,-0.00392348,-0.006679702,-0.01218031,0.001089808,-0.003431126
5/20/16,0.007685686,0.009246339,0.01109743,0,0.000996653
5/23/16,-0.001239368,-0.003331453,-0.002134137,0.000241977,9.05E-05
5/24/16,0.01336389,0.01225623,0.01191565,-0.000483746,0.002353173
5/25/16,0.007253171,0.009906456,0.01147346,-0.000362962,0.002799075
5/26/16,-0.000187007,0.002179782,0.006567201,0.001694498,0.000360174
5/27/16,0.004489718,-0.001359414,-0.000296623,-0.000362479,-0.000540032
5/31/16,-0.000465621,-0.00353937,0.002669835,0.000846122,-0.000540324
6/1/16,0.002701704,-0.000546356,-0.000887538,0.000352399,0.003456567
6/2/16,0.003344798,0.000273328,0.007995276,0.001935592,0.001803143
6/3/16,-0.002777993,0.007925687,0.01556988,0.006278636,0.007919341
6/6/16,0.005200088,0.006778742,0.008388803,-0.001559842,0.001874992
6/7/16,0.001939945,0.007541039,0.009753303,0.000120204,0.001604138
6/8/16,0.003503571,0.00320767,0.008238662,0.001201616,0.005249612
6/9/16,-0.002021257,-0.01252325,-0.01127082,0.000960176,-0.001239219
6/10/16,-0.0103112,-0.02698327,-0.02536333,0.000959255,-0.003810641
6/13/16,-0.008279064,-0.01442042,-0.01257311,0.000239538,-0.003647395
6/14/16,-0.001791611,-0.01401237,-0.002872363,-0.000119786,-0.00455359
6/15/16,-0.001038231,0.006655079,0.00926749,0.002275751,0.003946564
6/16/16,0.002928999,0.000287391,-0.00236961,0.001075482,0.000178653
6/17/16,-0.003297206,0.009482811,0.004453727,-0.001432435,-0.000982587
6/20/16,0.006805232,0.02334186,0.01448412,-0.002271398,0.006795441
6/21/16,0.00215925,0.007788561,0.00757582,-0.001318004,-0.000799257
6/22/16,-0.002248224,-0.001656124,0.0014459,0.000359913,0.004355149
6/23/16,0.01380153,0.02626488,0.02483398,-0.001798919,0.002389351
6/24/16,-0.03648826,-0.08189648,-0.05663573,0.005526842,-0.008475317
6/27/16,-0.01980005,-0.0193663,-0.01045396,0.005138013,0.00302737
6/28/16,0.01833688,0.02663086,0.02867494,0.00118876,0.00736797
6/29/16,0.01791045,0.0180705,0.02347415,-0.000356195,0.01004582
6/30/16,0.01371682,0.01231034,0.01003436,0.001306576,0.004623964
7/1/16,0.001959678,0.002262387,0.007380134,0.002780091,0.003809145
7/5/16,-0.007450899,-0.01975161,-0.01972389,0.003437252,0.002259709
7/6/16,0.006099292,0.000287804,0,0.001771721,0.001387475
7/7/16,-0.000466359,-0.004316591,-0.004311628,-0.001650742,-0.000346388
7/8/16,0.0155827,0.01387293,0.02222865,0.002598337,0.007969492
7/11/16,0.004134552,0.013683,0.008189803,-0.002944988,0.002836042
7/12/16,0.008326435,0.01406074,0.01540614,-0.00401697,-0.003427899
7/13/16,-0.000544442,-0.000832019,-0.00165521,0.001779287,0.000515931
7/14/16,0.004812046,0.00860398,0.01381597,-0.00153934,0.000429764
7/15/16,-0.001084261,-0.004953228,-0.003543125,-0.003202047,-0.000257722
